,White ,Black,Asian,Hispanic
"Management, professional, and related occupations",-93.256,35.836,-306.849,665.666
Service occupations,-4473.376,-1184.003,-695.361,-1581.978
Sales and office occupations,-3252.66,-806.823,-313.502,-820.254
"Natural resources, construction, and maintenance occupations",-1538.256,-51.524,-26.528,-1012.41
"Production, transportation, and material moving occupations",-1330.452,-293.486,-223.974,-178.024
