,White,Black,Asian,Hispanic
"Management, professional, and related occupations",-3.8,-4.4,-6.6,-5.4
Service occupations,2.4,3.7,5.1,3.5
Sales and office occupations,0.9,1.7,0.7,0.9
"Natural resources, construction, and maintenance occupations",0.4,-0.4,-0.2,2.1
"Production, transportation, and material moving occupations",0.1,-0.6,0.9,-1.1
