,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NHWA_MALE,NHWA_FEMALE,H_MALE,H_FEMALE,% White,% Minority,Unemployment Change
209,50,1,1,Alabama,Autauga County,12,0,55869,27092,28777,5237,6000,121,145,286,370,20138,21077,884,787,73.77078522973383,24.75433603608441,9.1
437,50,1,3,Alabama,Baldwin County,12,0,223234,108247,114987,9486,10107,903,839,932,1448,89845,95902,5545,4989,83.20730713063422,15.342196977162978,12.9
665,50,1,5,Alabama,Barbour County,12,0,24686,13064,11622,6311,5595,103,67,55,61,5894,5341,629,488,45.511626022846954,53.91314915336628,6.6
893,50,1,7,Alabama,Bibb County,12,0,22394,11929,10465,2941,1822,53,50,23,25,8482,8181,343,280,74.40832365812271,24.72537286773243,14.8
1121,50,1,9,Alabama,Blount County,12,0,57826,28472,29354,516,462,192,178,85,100,24494,25682,2950,2632,86.77065679798015,12.304153840832843,7.1
1349,50,1,11,Alabama,Bullock County,12,0,10101,5508,4593,3713,3384,40,44,9,12,1350,771,449,415,20.997920997921,79.85347985347985,6.1
1577,50,1,13,Alabama,Butler County,12,0,19448,9024,10424,3885,4862,39,38,168,111,4730,5207,153,136,51.09522830111065,48.292883587001235,16.5
1805,50,1,15,Alabama,Calhoun County,12,0,113605,54481,59124,11220,12993,310,295,401,623,39377,42087,2358,2256,71.7081114387571,26.808679195457945,15.1
2033,50,1,17,Alabama,Chambers County,12,0,33254,15895,17359,6221,7144,59,50,240,134,8835,9496,472,399,55.124195585493474,44.2623443796235,12.9
2261,50,1,19,Alabama,Cherokee County,12,0,26196,12926,13270,558,515,94,87,37,66,11833,12181,229,220,91.67048404336539,6.894182317911131,9.6
2489,50,1,21,Alabama,Chilton County,12,0,44428,21800,22628,2247,2349,132,118,87,130,17235,18246,1990,1646,79.86179886558027,19.57999459800126,9.7
2717,50,1,23,Alabama,Choctaw County,12,0,12589,5938,6651,2370,2885,16,10,7,18,3458,3633,55,73,56.3269521010406,43.164667566923505,8.2
2945,50,1,25,Alabama,Clarke County,12,0,23622,11153,12469,4878,5757,56,77,46,57,5943,6366,162,148,52.10820421640844,47.33299466598933,10.3
3173,50,1,27,Alabama,Clay County,12,0,13235,6447,6788,867,957,30,45,19,19,5197,5437,231,204,80.34756327918399,17.92217604835663,6.6
3401,50,1,29,Alabama,Cleburne County,12,0,14910,7340,7570,193,231,35,44,10,23,6815,7024,212,175,92.8169014084507,6.190476190476191,9.6
3629,50,1,31,Alabama,Coffee County,12,0,52342,25742,26600,4429,4787,357,377,320,558,17928,18410,2189,1982,69.42417179320623,28.65576401360284,6.8
3857,50,1,33,Alabama,Colbert County,12,0,55241,26408,28833,4108,4851,195,187,152,222,20649,22286,925,864,77.72306801107874,20.825111782914867,13.4
4085,50,1,35,Alabama,Conecuh County,12,0,12067,5758,6309,2524,3036,36,31,11,17,3011,3066,150,127,50.360487279356924,49.15886301483384,11.0
4313,50,1,37,Alabama,Coosa County,12,0,10663,5335,5328,1606,1688,41,24,6,12,3513,3432,152,128,65.13176404389009,34.29616430648036,10.2
4541,50,1,39,Alabama,Covington County,12,0,37049,17927,19122,2138,2500,146,134,90,96,14967,15807,342,345,83.06297066047667,15.63065129963022,7.3
4769,50,1,41,Alabama,Crenshaw County,12,0,13772,6685,7087,1509,1780,42,49,80,72,4743,4934,185,148,70.26575660760965,28.064188207958175,13.0
4997,50,1,43,Alabama,Cullman County,12,0,83768,41408,42360,635,521,272,267,224,383,37901,38895,1924,1828,91.67701270174769,7.227103428516857,9.4
5225,50,1,45,Alabama,Dale County,12,0,49172,24214,24958,4790,5524,232,190,251,462,16743,16682,1831,1619,67.97567721467502,30.29976409338648,6.7
5453,50,1,47,Alabama,Dallas County,12,0,37196,17178,20018,11940,14360,74,40,91,76,4777,5255,237,192,26.970642004516616,72.61533498225616,16.2
5681,50,1,49,Alabama,DeKalb County,12,0,71513,35577,35936,688,652,744,702,199,172,28018,29085,5715,5059,79.84981751569644,19.48037419769832,9.1
5909,50,1,51,Alabama,Elmore County,12,0,81209,39236,41973,8345,8834,212,201,270,340,28610,30741,1289,1274,73.08426405940229,25.56982600450689,8.8
6137,50,1,53,Alabama,Escambia County,12,0,36633,18425,18208,5974,5476,703,725,53,69,10857,11237,530,422,60.31174078017089,38.08587885240084,8.5
6365,50,1,55,Alabama,Etowah County,12,0,102268,49496,52772,7542,8560,334,293,412,429,38398,40809,2225,2005,77.45042437517112,21.316540853443893,16.1
6593,50,1,57,Alabama,Fayette County,12,0,16302,7937,8365,927,974,41,37,19,59,6672,7031,172,163,84.05717089927617,14.673046251993622,8.2
6821,50,1,59,Alabama,Franklin County,12,0,31362,15782,15580,776,597,257,265,55,59,11636,12257,3153,2453,76.1845545564696,24.280976978509024,8.9
7049,50,1,61,Alabama,Geneva County,12,0,26271,12827,13444,1181,1264,147,146,44,48,10689,11262,584,511,83.55601233299075,14.940428609493358,5.5
7277,50,1,63,Alabama,Greene County,12,0,8111,3829,4282,3033,3449,18,13,11,12,693,730,73,66,17.544075946245837,82.29564788558747,17.0
7505,50,1,65,Alabama,Hale County,12,0,14651,6950,7701,3909,4591,17,22,19,25,2875,2944,111,98,39.71742543171114,60.00955566172957,17.2
7733,50,1,67,Alabama,Henry County,12,0,17205,8309,8896,2097,2357,49,30,33,40,5808,6156,239,224,69.53792502179599,29.462365591397848,6.0
7961,50,1,69,Alabama,Houston County,12,0,105882,50628,55254,13435,15541,257,317,477,660,33760,36203,1920,1711,66.07638692128974,32.41155248295272,8.3
8189,50,1,71,Alabama,Jackson County,12,0,51626,25367,26259,893,910,421,432,132,169,22559,23412,832,752,89.04621702243057,8.795955526285205,10.3
8417,50,1,73,Alabama,Jefferson County,12,0,658573,311232,347341,130550,155711,917,947,5599,6187,157313,168778,14247,12626,49.51478423804195,49.62001175268345,10.1
8645,50,1,75,Alabama,Lamar County,12,0,13805,6760,7045,673,753,18,25,7,8,5831,6043,145,118,86.01231437884825,12.654835204636,8.8
8873,50,1,77,Alabama,Lauderdale County,12,0,92729,44490,48239,4273,5016,219,195,359,399,37756,40669,1313,1339,84.57440498657378,14.141207173591862,11.9
9101,50,1,79,Alabama,Lawrence County,12,0,32924,16034,16890,1686,1896,936,970,33,40,12270,12852,403,376,76.30300085044345,19.25646944478192,8.9
9329,50,1,81,Alabama,Lee County,12,0,164542,80840,83702,17413,20325,323,274,3614,3246,55323,56041,3217,2874,67.68119993679426,31.168941668388616,10.1
9557,50,1,83,Alabama,Limestone County,12,0,98915,49444,49471,7118,6644,431,401,716,947,37321,37681,3133,3016,75.82469797300713,22.651771723196685,9.2
9785,50,1,85,Alabama,Lowndes County,12,0,9726,4570,5156,3234,3809,16,18,24,23,1214,1228,85,96,25.10795805058606,75.10795805058605,20.8
10013,50,1,87,Alabama,Macon County,12,0,18068,8218,9850,6442,8080,19,30,71,37,1476,1498,188,155,16.460039849457605,83.14146557449634,15.2
10241,50,1,89,Alabama,Madison County,12,0,372909,182366,190543,43203,49506,1491,1507,4532,5446,119621,120916,9959,9393,64.50286799192297,33.53016419555441,8.2
10469,50,1,91,Alabama,Marengo County,12,0,18863,8839,10024,4403,5335,25,23,25,32,4061,4319,275,253,44.42559508031596,54.98064994963685,8.9
10697,50,1,93,Alabama,Marion County,12,0,29709,14626,15083,664,483,65,59,41,57,13279,13973,434,366,91.72977885489246,7.300817933959407,8.0
10925,50,1,95,Alabama,Marshall County,12,0,96774,47717,49057,1766,1312,572,502,287,396,37296,39953,7706,6566,79.8241263149193,19.743939487878976,8.7
11153,50,1,97,Alabama,Mobile County,12,0,413210,196374,216836,68501,81208,1868,2012,3993,4566,113209,120338,6373,6070,56.52017134144865,42.252365625226886,11.8
11381,50,1,99,Alabama,Monroe County,12,0,20733,9869,10864,3857,4639,137,141,51,45,5508,5710,165,182,54.10697921188443,44.455698644672744,11.4
11609,50,1,101,Alabama,Montgomery County,12,0,226486,106394,120092,61404,72952,372,393,3607,3817,36023,38036,4344,4000,32.699151382425406,66.62177794653974,12.3
11837,50,1,103,Alabama,Morgan County,12,0,119679,58888,60791,7537,8128,686,606,356,463,43895,45932,5660,4806,75.05660976445324,23.59812498433309,8.9
12065,50,1,105,Alabama,Perry County,12,0,8923,4152,4771,2764,3299,17,12,42,14,1252,1349,69,75,29.149389218872578,70.51440098621539,16.4
12293,50,1,107,Alabama,Pickens County,12,0,19930,10014,9916,3798,4167,33,18,33,31,5408,5274,666,378,53.59759157049674,45.780230807827394,11.1
12521,50,1,109,Alabama,Pike County,12,0,33114,15919,17195,5714,6815,113,119,332,288,9098,9380,424,378,55.80117170985082,42.830826840611216,6.3
12749,50,1,111,Alabama,Randolph County,12,0,22722,11078,11644,2060,2310,47,60,43,61,8419,8712,358,324,75.39389138280082,23.162573717102365,9.8
12977,50,1,113,Alabama,Russell County,12,0,57961,27767,30194,12317,14047,211,199,183,329,12981,13581,1712,1666,45.82736667759356,52.904539259157026,8.1
13205,50,1,115,Alabama,St. Clair County,12,0,89512,44352,45160,4535,4115,178,162,374,429,37641,38790,1093,1092,85.386316918402,13.381446063097686,10.7
13433,50,1,117,Alabama,Shelby County,12,0,217702,105203,112499,13458,15539,439,425,2202,2722,81563,86528,6469,6166,77.21150931089286,21.7820690668896,7.3
13661,50,1,119,Alabama,Sumter County,12,0,12427,5684,6743,4026,4847,5,15,93,145,1467,1631,78,71,24.92958879858373,74.67610847348516,9.3
13889,50,1,121,Alabama,Talladega County,12,0,79978,38479,41499,12244,14167,198,150,246,310,24244,25556,1112,801,62.26712345895121,36.5450498887194,16.8
14117,50,1,123,Alabama,Tallapoosa County,12,0,40367,19562,20805,5102,5799,94,86,104,132,13580,14153,558,463,68.70215770307429,30.564570069611317,13.7
14345,50,1,125,Alabama,Tuscaloosa County,12,0,209355,100780,108575,30731,37134,433,343,1721,1669,62663,64622,4421,3887,60.79864345250889,38.374531298512096,14.3
14573,50,1,127,Alabama,Walker County,12,0,63521,30982,32539,1845,2089,204,163,174,190,27435,29002,923,758,88.84778262306953,9.99039687662348,10.1
14801,50,1,129,Alabama,Washington County,12,0,16326,8001,8325,1812,1992,594,710,153,34,5245,5361,138,126,64.96386132549307,34.04998162440279,8.7
15029,50,1,131,Alabama,Wilcox County,12,0,10373,4922,5451,3433,3938,9,14,12,9,1372,1414,80,69,26.858189530511904,72.92008097946592,17.3
15257,50,1,133,Alabama,Winston County,12,0,23629,11627,12002,132,104,107,96,30,55,10812,11234,413,368,93.3006051885395,5.522874433958272,7.3
22097,50,4,1,Arizona,Apache County,12,0,71887,35482,36405,204,200,26197,27718,174,171,6565,6370,2509,2227,17.993517604017416,82.62968269645415,6.7
22325,50,4,3,Arizona,Cochise County,12,0,125922,63757,62165,3297,2379,1184,1032,1073,1771,35155,33813,22490,22498,54.770413430536365,44.252791410555744,5.4
22553,50,4,5,Arizona,Coconino County,12,0,143476,70721,72755,1150,1030,18952,20432,1313,1633,38591,39017,10374,10168,54.09127658981293,45.33998717555549,12.4
22781,50,4,7,Arizona,Gila County,12,0,54018,26789,27229,246,195,4819,4989,204,285,16474,16819,5184,5032,61.63315931726462,38.79077344588841,6.4
23009,50,4,9,Arizona,Graham County,12,0,38837,20809,18028,555,175,2589,2669,150,138,10269,9534,7288,5591,50.990035275639215,49.32152328964647,3.2
23237,50,4,11,Arizona,Greenlee County,12,0,9498,4916,4582,112,90,193,198,30,49,2259,2061,2325,2201,45.48325963360708,54.727311012844815,1.6
23465,50,4,12,Arizona,La Paz County,12,0,21108,10820,10288,139,115,1839,1976,86,105,6208,5720,3087,2895,56.50938032973281,48.5218874360432,2.5
23693,50,4,13,Arizona,Maricopa County,12,0,4485414,2217230,2268184,143502,142817,61887,65119,98196,109515,1204282,1241807,705642,703213,54.53429716855568,45.255376649736235,8.6
23921,50,4,15,Arizona,Mohave County,12,0,212181,107347,104834,1794,1009,3198,3234,1044,1566,81776,81059,18903,17016,76.74344074163096,22.510969408193947,13.8
24149,50,4,17,Arizona,Navajo County,12,0,110924,55469,55455,725,384,24484,26164,299,393,23198,22992,6995,5747,41.641123652230355,58.77087014532473,7.2
24377,50,4,19,Arizona,Pima County,12,0,1047279,515596,531683,23690,20184,22474,23326,16392,18683,263616,272620,193953,201493,51.202783594438536,49.671100060251376,8.6
24605,50,4,21,Arizona,Pinal County,12,0,462789,240960,221829,13533,11242,16910,13720,4289,4562,131061,128528,76954,65322,56.09230124311512,44.627681297524354,7.3
24833,50,4,23,Arizona,Santa Cruz County,12,0,46498,22415,24083,236,224,337,333,172,197,3502,3464,18496,20215,14.981289517828724,86.47683771345004,9.1
25061,50,4,25,Arizona,Yavapai County,12,0,235099,114880,120219,1203,921,2505,2553,1256,1689,91266,97211,17794,16847,80.16920531350623,19.04219073666838,9.8
25289,50,4,27,Arizona,Yuma County,12,0,213787,110106,103681,3597,2049,2601,2271,1534,1754,33836,30617,69995,68136,30.148231651129393,71.06933536650966,8.7
25517,50,5,1,Arkansas,Arkansas County,12,0,17486,8437,9049,2009,2378,32,29,67,77,5911,6164,335,267,69.05524419535628,29.703763010408323,2.5
25745,50,5,3,Arkansas,Ashley County,12,0,19657,9580,10077,2222,2631,91,61,27,26,6625,6831,625,494,68.45398585745535,31.423920231978432,7.7
25973,50,5,5,Arkansas,Baxter County,12,0,41932,20346,21586,118,78,169,164,68,137,19179,20365,555,547,94.3050653438901,4.378517599923686,7.3
26201,50,5,7,Arkansas,Benton County,12,0,279141,138868,140273,3059,2694,2591,2626,6331,5297,99468,103190,24376,23254,72.60058536725168,25.158611597723013,5.9
26429,50,5,9,Arkansas,Boone County,12,0,37432,18447,18985,113,65,164,163,90,128,17257,17821,480,508,93.71126309040393,4.570955332335969,8.1
26657,50,5,11,Arkansas,Bradley County,12,0,10763,5271,5492,1364,1580,85,82,19,32,2879,3049,954,762,55.0775806002044,45.32193626312366,6.9
26885,50,5,13,Arkansas,Calhoun County,12,0,5189,2622,2567,546,553,22,19,5,7,1894,1847,121,93,72.09481595683175,26.32491809597225,3.2
27113,50,5,15,Arkansas,Carroll County,12,0,28380,14141,14239,134,104,170,218,278,292,10968,11277,2244,2062,78.38266384778014,19.38689217758985,8.1
27341,50,5,17,Arkansas,Chicot County,12,0,10118,5097,5021,2732,2793,33,20,39,32,1974,1918,336,264,38.46610001976675,61.761217631943076,7.3
27569,50,5,19,Arkansas,Clark County,12,0,22320,10598,11722,2516,2976,61,72,66,92,7337,7910,526,549,68.31093189964157,30.725806451612904,5.8
27797,50,5,21,Arkansas,Clay County,12,0,14551,7102,7449,76,48,43,41,20,16,6719,7090,178,142,94.90069411037042,3.876022266510893,4.6
28025,50,5,23,Arkansas,Cleburne County,12,0,24919,12241,12678,67,50,91,93,34,98,11594,11951,278,333,94.4861350776516,4.189574220474337,12.1
28253,50,5,25,Arkansas,Cleveland County,12,0,7956,3938,4018,434,484,20,21,4,10,3331,3373,115,82,84.26344896933132,14.705882352941178,5.3
28481,50,5,27,Arkansas,Columbia County,12,0,23457,11328,12129,3837,4524,97,48,93,121,6899,7068,369,290,59.542993562689176,39.983800144946066,5.9
28709,50,5,29,Arkansas,Conway County,12,0,20846,10260,10586,1170,1211,116,65,42,46,8317,8653,432,404,81.4065048450542,16.722632639355272,7.2
28937,50,5,31,Arkansas,Craighead County,12,0,110332,53554,56778,8638,9871,267,321,762,650,40134,42455,3032,2761,74.85498314179023,23.83895877895805,6.8
29165,50,5,33,Arkansas,Crawford County,12,0,63257,31224,32033,555,544,784,864,452,524,26105,26782,2594,2537,83.60655737704919,13.996869911630332,6.6
29393,50,5,35,Arkansas,Crittenden County,12,0,47955,22784,25171,12058,14089,89,108,130,180,9634,9974,696,635,40.888332812011264,58.356792826608284,10.2
29621,50,5,37,Arkansas,Cross County,12,0,16419,7977,8442,1811,1994,38,33,69,61,5777,6093,187,141,72.29429319690603,26.39624824897984,6.7
29849,50,5,39,Arkansas,Dallas County,12,0,7009,3466,3543,1357,1482,23,26,8,11,1868,1863,166,105,53.23155942359823,45.341703524040526,5.6
30077,50,5,41,Arkansas,Desha County,12,0,11361,5359,6002,2489,2953,23,29,47,33,2432,2627,372,359,44.52953085115747,55.496875275063815,5.6
30305,50,5,43,Arkansas,Drew County,12,0,18219,8873,9346,2408,2712,34,64,58,67,5912,6132,363,321,66.10681157033865,33.08084966244031,6.1
30533,50,5,45,Arkansas,Faulkner County,12,0,126007,61487,64520,7224,8152,412,452,735,847,49310,51424,2791,2486,79.9431777599657,18.331521264691645,8.3
30761,50,5,47,Arkansas,Franklin County,12,0,17715,8837,8878,109,55,136,144,101,89,8040,8180,302,272,91.56082416031612,6.819079875811459,6.0
30989,50,5,49,Arkansas,Fulton County,12,0,12477,6160,6317,46,42,53,48,16,26,5810,5977,106,109,94.46982447703775,3.574577222088643,4.0
31217,50,5,51,Arkansas,Garland County,12,0,99386,47783,51603,4254,4445,385,398,340,515,38772,42392,3019,2881,81.66542571388324,16.337311090093174,12.6
31445,50,5,53,Arkansas,Grant County,12,0,18265,9015,9250,263,228,53,36,30,43,8272,8581,301,251,92.26936764303314,6.597317273473857,5.8
31673,50,5,55,Arkansas,Greene County,12,0,45325,22336,22989,427,398,140,121,91,94,20601,21388,704,639,92.63982349696636,5.767236624379481,7.8
31901,50,5,57,Arkansas,Hempstead County,12,0,21532,10429,11103,2997,3560,77,74,43,69,5681,5924,1498,1366,53.896526100687346,44.974921047742896,5.0
32129,50,5,59,Arkansas,Hot Spring County,12,0,33771,17646,16125,2161,1666,115,103,55,85,14326,13470,692,553,82.30730508424388,16.078884249800122,7.6
32357,50,5,61,Arkansas,Howard County,12,0,13202,6373,6829,1292,1491,83,102,42,33,4051,4303,871,867,63.278291168004856,36.21420996818664,5.5
32585,50,5,63,Arkansas,Independence County,12,0,37825,18479,19346,495,435,150,165,155,183,16204,17096,1281,1233,88.03701255783211,10.831460674157304,8.6
32813,50,5,65,Arkansas,Izard County,12,0,13629,7073,6556,254,40,56,58,20,45,6462,6171,197,149,92.69205370900286,6.00924499229584,8.7
33041,50,5,67,Arkansas,Jackson County,12,0,16719,8297,8422,1463,1441,63,57,37,51,6333,6504,292,211,76.78090794904001,21.622106585322086,4.9
33269,50,5,69,Arkansas,Jefferson County,12,0,66824,33005,33819,18506,19848,147,137,309,273,12947,12628,860,613,38.27217766072069,60.8957859451694,5.6
33497,50,5,71,Arkansas,Johnson County,12,0,26578,13157,13421,325,258,166,162,362,359,10250,10654,1920,1871,78.6515162916698,20.40409361125743,7.3
33725,50,5,73,Arkansas,Lafayette County,12,0,6624,3238,3386,1130,1274,16,20,22,20,1947,1966,110,85,59.07306763285024,40.41364734299517,6.8
33953,50,5,75,Arkansas,Lawrence County,12,0,16406,8036,8370,102,97,63,42,22,22,7596,7964,142,150,94.84334999390467,3.9010118249420946,6.1
34181,50,5,77,Arkansas,Lee County,12,0,8857,4983,3874,2591,2226,32,22,28,23,2166,1489,135,71,41.26679462571977,57.89770802754883,6.4
34409,50,5,79,Arkansas,Lincoln County,12,0,13024,7995,5029,2834,1077,44,28,32,15,4693,3659,360,182,64.12776412776412,35.1044226044226,5.2
34637,50,5,81,Arkansas,Little River County,12,0,12259,5904,6355,1119,1315,93,111,20,37,4335,4568,229,228,72.62419446936944,25.711722000163146,6.8
34865,50,5,83,Arkansas,Logan County,12,0,21466,10700,10766,173,145,120,130,278,212,9628,9817,356,295,90.58511133886145,7.961427373520917,8.8
35093,50,5,85,Arkansas,Lonoke County,12,0,73309,35960,37349,2253,2399,264,269,239,433,30783,32117,1825,1525,85.80119767013599,12.559167360078572,6.8
35321,50,5,87,Arkansas,Madison County,12,0,16576,8300,8276,84,67,151,134,53,72,7412,7390,517,460,89.29777992277992,9.278474903474903,3.7
35549,50,5,89,Arkansas,Marion County,12,0,16694,8180,8514,52,49,85,92,12,91,7707,7916,189,219,93.58452138492872,4.726248951719181,5.6
35777,50,5,91,Arkansas,Miller County,12,0,43257,21294,21963,5165,5810,187,186,110,119,14731,14823,816,736,68.32189009871234,30.35115703816723,9.9
36005,50,5,93,Arkansas,Mississippi County,12,0,40651,19795,20856,6726,7752,111,79,96,98,11761,11851,925,866,58.084671963789326,40.965781899584265,9.1
36233,50,5,95,Arkansas,Monroe County,12,0,6701,3137,3564,1231,1461,25,19,25,29,1714,1924,107,67,54.29040441725116,44.23220414863453,5.1
36461,50,5,97,Arkansas,Montgomery County,12,0,8986,4457,4529,37,35,67,60,36,81,4050,4074,195,212,90.40730024482528,8.045849098597818,6.5
36689,50,5,99,Arkansas,Nevada County,12,0,8252,4088,4164,1227,1319,23,13,20,23,2560,2584,201,188,62.33640329617063,36.52447891420262,5.3
36917,50,5,101,Arkansas,Newton County,12,0,7753,3917,3836,20,18,51,48,5,24,3672,3580,71,80,93.53798529601445,4.088739842641558,6.1
37145,50,5,103,Arkansas,Ouachita County,12,0,23382,11049,12333,4202,5185,62,49,62,57,6221,6576,316,282,54.73013429133522,43.687451886066206,4.8
37373,50,5,105,Arkansas,Perry County,12,0,10455,5188,5267,123,89,57,46,10,28,4710,4882,195,129,91.74557627929221,6.475370636059302,6.0
37601,50,5,107,Arkansas,Phillips County,12,0,17782,8343,9439,4977,6097,44,28,37,43,3043,3078,195,159,34.422449668203804,65.1220335170397,8.9
37829,50,5,109,Arkansas,Pike County,12,0,10718,5338,5380,205,166,75,52,44,41,4598,4732,370,336,87.04982272812092,12.026497480873296,5.8
38057,50,5,111,Arkansas,Poinsett County,12,0,23528,11379,12149,933,1025,54,47,38,43,9777,10514,422,360,86.24192451547093,12.419245154709282,5.1
38285,50,5,113,Arkansas,Polk County,12,0,19964,9747,10217,73,51,216,204,59,132,8506,9019,689,625,87.7830094169505,10.263474253656582,7.1
38513,50,5,115,Arkansas,Pope County,12,0,64072,31778,32294,1139,998,304,347,336,450,26305,27122,3174,2978,83.38587838681484,15.1797977275565,6.1
38741,50,5,117,Arkansas,Prairie County,12,0,8062,4049,4013,447,473,14,21,4,7,3437,3408,101,60,84.90449020094269,13.979161498387496,3.9
38969,50,5,119,Arkansas,Pulaski County,12,0,391911,186981,204930,67819,80526,850,901,4083,4772,98269,104018,13065,11428,51.61554536616732,46.8075660035059,8.9
39197,50,5,121,Arkansas,Randolph County,12,0,17958,8899,9059,118,94,56,60,28,35,8165,8425,216,186,92.38222519211493,4.415859227085422,6.5
39425,50,5,123,Arkansas,St. Francis County,12,0,24994,13798,11196,6952,6255,149,56,79,81,5473,4486,1137,231,39.845562935104425,59.77434584300232,7.0
39653,50,5,125,Arkansas,Saline County,12,0,122437,59792,62645,4849,5472,423,372,714,930,49962,52155,3215,3077,83.40370966292869,15.560655684147765,6.7
39881,50,5,127,Arkansas,Scott County,12,0,10281,5210,5071,39,29,131,139,154,164,4349,4310,460,356,84.22332457932107,14.317673378076062,3.6
40109,50,5,129,Arkansas,Searcy County,12,0,7881,3950,3931,23,17,63,60,13,18,3626,3675,140,84,92.64052785179547,5.303895444740515,7.1
40337,50,5,131,Arkansas,Sebastian County,12,0,127827,62479,65348,4465,4479,1536,1545,2876,3183,42559,45285,9687,9176,68.72100573431278,28.903909189764292,8.3
40565,50,5,133,Arkansas,Sevier County,12,0,17007,8514,8493,362,352,298,312,44,57,4635,4890,3060,2769,56.00635032633622,42.653025224907395,4.0
40793,50,5,135,Arkansas,Sharp County,12,0,17442,8579,8863,87,91,115,74,72,37,7910,8276,225,225,92.7989909414058,5.3090241944731105,7.4
41021,50,5,137,Arkansas,Stone County,12,0,12506,6205,6301,26,30,53,64,26,32,5868,5953,122,116,94.52262913801376,3.750199904046058,7.7
41249,50,5,139,Arkansas,Union County,12,0,38682,18841,19841,5999,6766,100,107,124,139,11581,11881,851,760,60.65353394343622,38.37960808644848,7.3
41477,50,5,141,Arkansas,Van Buren County,12,0,16545,8239,8306,61,41,85,75,32,38,7638,7774,298,224,93.15200967059535,5.1616802659413725,7.3
41705,50,5,143,Arkansas,Washington County,12,0,239187,119577,119610,4869,4105,1836,1922,3161,3136,83206,85282,21000,19999,70.44195545744543,25.096681675843584,6.3
41933,50,5,145,Arkansas,White County,12,0,78753,38358,40395,1835,1805,267,287,348,337,33450,35644,1833,1668,87.73507041001612,10.640864475004125,6.0
42161,50,5,147,Arkansas,Woodruff County,12,0,6320,3060,3260,772,881,17,22,12,6,2130,2242,86,54,69.17721518987342,29.27215189873418,3.1
42389,50,5,149,Arkansas,Yell County,12,0,21341,10689,10652,247,209,121,113,138,152,7854,8074,2297,2074,74.63567780328944,25.073801602549082,4.1
42617,50,6,1,California,Alameda County,12,0,1671329,823247,848082,88167,96201,9048,8749,259991,280400,256400,255734,188611,184444,30.642321170756926,66.74993373536869,11.3
42845,50,6,3,California,Alpine County,12,0,1129,609,520,0,4,146,144,11,7,384,308,75,64,61.293179805137285,39.946855624446414,17.7
43073,50,6,5,California,Amador County,12,0,39752,21638,18114,955,111,554,371,318,347,15959,14783,3617,2136,77.33447373717046,21.15365264640773,10.7
43301,50,6,7,California,Butte County,12,0,219186,108473,110713,2316,1842,2730,2817,5461,5523,76229,79186,19162,18569,70.90553228764611,26.65316215451717,10.5
43529,50,6,9,California,Calaveras County,12,0,45905,22847,23058,303,195,428,477,390,469,18213,18459,3026,2941,79.88672257923973,17.92615183531206,9.6
43757,50,6,11,California,Colusa County,12,0,21547,10975,10572,164,118,312,282,152,185,3649,3695,6765,6253,34.08363113194412,66.04631735276372,11.8
43985,50,6,13,California,Contra Costa County,12,0,1153526,564187,589339,52267,57797,5984,5725,99630,111488,242832,249561,150136,150284,42.68590391547308,54.90218686011412,11.7
44213,50,6,15,California,Del Norte County,12,0,27812,15186,12626,884,96,1415,1277,410,451,8690,8546,3605,1991,61.973248957284625,36.41953113763843,7.8
44441,50,6,17,California,El Dorado County,12,0,192843,96158,96685,1142,858,1340,1234,4128,5189,74547,74356,12790,12588,77.21462536882335,20.36319700481739,11.9
44669,50,6,19,California,Fresno County,12,0,999101,498648,500453,29301,28675,14838,14887,54900,56453,139958,146091,271242,265938,28.630638944411025,73.68964699264639,9.3
44897,50,6,21,California,Glenn County,12,0,28393,14462,13931,226,151,464,451,442,448,7161,7173,6336,5743,50.48427429295953,50.227168668333746,9.6
45125,50,6,23,California,Humboldt County,12,0,135558,67241,68317,1161,857,4159,4478,1852,2078,49726,50352,8207,8147,73.82670148571091,22.823440888770858,10.3
45353,50,6,25,California,Imperial County,12,0,181215,92878,88337,4317,1692,2216,2280,1967,1856,9884,8277,77122,76966,10.021797312584498,92.93711889192396,12.4
45581,50,6,27,California,Inyo County,12,0,18039,9036,9003,136,83,1169,1267,143,164,5508,5462,2169,2061,60.81268362991297,39.86917234879982,10.3
45809,50,6,29,California,Kern County,12,0,900202,461034,439168,30296,25986,11946,11772,23750,24529,148973,146742,254029,237516,32.84984925605586,68.8538794626095,10.5
46037,50,6,31,California,Kings County,12,0,152940,84342,68598,7772,3645,2574,2331,3301,3413,26321,21617,45823,38691,31.34431803321564,70.32169478226756,8.7
46265,50,6,33,California,Lake County,12,0,64386,32194,32192,746,605,1454,1426,412,476,21977,22390,7297,6874,68.90783710744572,29.959929177150315,11.7
46493,50,6,35,California,Lassen County,12,0,30573,19026,11547,2393,176,787,514,268,221,11181,8615,4269,1641,64.7499427599516,33.5884604062408,6.5
46721,50,6,37,California,Los Angeles County,12,0,10039107,4949041,5090066,426817,472349,73361,70607,722516,822929,1318563,1297384,2434231,2447739,26.05756667400796,74.41447730360878,16.3
46949,50,6,39,California,Madera County,12,0,157327,75885,81442,2268,4287,3462,3520,1955,2063,24575,27622,46122,46361,33.1773948527589,69.94222225047194,9.3
